Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Ethnicity,Occupation,Social Classification,Manner of Death,Place of Death,Place of Detainment,Wikipedia Page
http://www.wikidata.org/entity/Q43394971,Jonet Ewart,Goodtrees Liberton,-3.14,55.9139,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43394997,Elspeth Makbeith,Auldearn,-3.81595,57.5765,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395000,Margaret Brodie,Auldearn,-3.81595,57.5765,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395011,Agnes Brodie,Mains of Lethen,-3.777354,57.545634,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395029,Helen Birks,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395031,(mother of) Robertson,"Nisbet, Scottish Borders",-2.51667,55.5167,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395032,Marion Stevinstoun,"Nisbet, Scottish Borders",-2.51667,55.5167,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395041,Issobell Cathie,Sammuelston,-2.825545,55.92742,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395066,Margaret Fulkhart,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395092,Bessie Wrycht,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395097,Helen Sumner,Aberdeen,-2.1,57.15,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395109,Barbara Veitch,Edinburgh,-3.198888888,55.95,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395127,Margaret Dicksoun,Kailzie,-3.136747,55.634893,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395141,Issobel Haddock,West Linton,-3.3554,55.7526,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395163,Margaret Loche,Eyemouth,-2.090555555,55.86944444,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395166,Janet Thomesoun,Ayr,-4.627777777,55.46388889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395167,Helen McFersane,Ayr,-4.627777777,55.46388889,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395170,Helen Luddes,Craigsford,-2.684546,55.634535,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395173,Easter Moreis,"Foulden, Scottish Borders",-2.1148,55.7954,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395189,Joan Graham,Mauchline,-4.383333333,55.41666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395241,Margaret Durie,Aberdeen,-2.1,57.15,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395269,Bessie Ireland,Perth,-3.431666666,56.39527778,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395279,Christian Grintoun,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395295,Katherine Hill,Dalmeny,-3.37,55.983,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395306,Masie Aichesoune,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395307,Jonnett Gardiner,Aberlemno,-2.783638888,56.69146111,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395339,Christiane Balfour,Inverkeithing,-3.383333333,56.03333333,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395359,Elspett Jamesoun,Bo'ness,-3.608911111,56.01681111,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395387,Annabell Cattenhead,Footie,-2.638259,57.102973,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395411,Marjorie Forrester,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395451,Marion Baptie,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395453,Elizabeth Holiday,Pencaitland,-2.89098,55.91,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395460,Alisone Blackburne,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395464,Marion Bryson,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395466,Margaret Park,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
